,prev,curr,type,n
257,List_of_Opuntia_species,Opuntia_austrina,link,12
258,List_of_Ottoman_imperial_consorts,Ikbal_(title),link,12
259,other-search,Western_hognose_snake,external,2189
260,South_Africa,Thoko_Didiza,link,2180
261,Planet_of_the_Apes_(1968_film),Charlton_Heston,link,2173
262,List_of_Star_Trek:_The_Next_Generation_episodes,Tracy_Tormé,link,12
263,Phil_Taylor_(musician),"\Fast\""_Eddie_Clarke""",link,2151
264,List_of_The_Little_Mermaid_adaptations,My_Favorite_Fairy_Tales,link,12
265,List_of_Hindi_film_families,Aditya_Raj_Kapoor,link,2145
266,List_of_Top_Gear_test_track_Power_Lap_times,Porsche_Cayenne,link,12
267,List_of_animated_feature_films_of_2006,Dragones:_destino_de_fuego,link,12
268,List_of_animated_feature_films_of_2014,Son_of_Batman,link,12
269,List_of_awards_and_nominations_received_by_Reba_McEntire,Blockbuster_Entertainment_Awards,link,12
270,Adrian_Edmondson,Pocklington_School,link,2068
271,Judas_Priest,Stained_Class,link,2068
272,"List_of_business_schools_in_Hyderabad,_India",Indian_School_of_Business,link,12
273,Malta,Ħal_Saflieni_Hypogeum,link,2062
274,other-search,Minthe,external,2046
275,List_of_defunct_airlines_of_Mexico,Aeroméxico_Travel,link,12
276,List_of_ecoregions_in_the_United_States_(WWF),Territories_of_the_United_States,link,12
277,List_of_endangered_species_in_Pakistan,Mountain_weasel,link,12
278,Mallory_and_Irvine_Research_Expedition,1924_British_Mount_Everest_expedition,link,2008
279,other-search,Red-lipped_batfish,external,2004
280,List_of_hāfu_people,Yoshie_Fujiwara,link,12
281,other-search,Wayne_Northrop,external,1951
282,"List_of_mayors_of_Mayagüez,_Puerto_Rico",José_Guillermo_Rodríguez,link,12
283,List_of_mobile_network_operators_in_Asia_and_Oceania,Mobile_network_codes_in_ITU_region_5xx_(Oceania),link,12
284,Lucian_Msamati,List_of_Game_of_Thrones_characters,link,1931
285,List_of_photographs_considered_the_most_important,Raymond_Gosling,link,12
286,other-search,Zodiac_Killer_in_popular_culture,external,1892
287,other-search,List_of_Catholic_hymns,external,1891
288,List_of_rally_cars,Citroën_Xsara,link,12
289,List_of_replenishment_ships_of_the_Royal_Fleet_Auxiliary,Fleet_Solid_Support_Ship_Programme,link,12
290,other-search,Tilottama,external,1871
291,List_of_school_districts_in_Georgia,Bremen_City_School_District,link,12
292,List_of_songs_recorded_by_Beyoncé,Austin_Powers_in_Goldmember,link,12
293,other-internal,PBS,external,1850
294,List_of_statisticians,Florence_Nightingale,link,12
295,List_of_years_in_the_United_States,1800_in_the_United_States,link,12
296,Mr._Miyagi,List_of_The_Karate_Kid_and_Cobra_Kai_characters,link,1817
297,other-search,Bridget_Brennan_(journalist),external,1808
298,Lloyd_Owusu,Rydalmere_Lions_FC,link,12
299,other-search,Hellraiser:_Hellseeker,external,1793
300,Look_Both_Ways,Look_Both_Ways_(2022_film),link,12
301,Lord_Randolph_Churchill,Edward_VII,link,12
302,Tanga_Loa,The_Bloodline_(professional_wrestling),link,1774
303,Lucky_Buddha_Beer,Budai,link,12
304,Lucy_Spraggan,Columbia_Records,link,12
305,other-search,B♭_(musical_note),external,1766
306,other-empty,Responsible_Parenthood_and_Reproductive_Health_Act_of_2012,external,1754
307,MLB_on_Fox,Triple-A_National_Championship_Game,link,12
308,Main_Page,2023_Allsvenskan,other,12
309,other-search,Locha_Laapsi,external,1724
310,Main_Page,Danzy_Senna,other,12
311,other-search,Noah's_wife,external,1720
312,Deuce_Bigalow:_Male_Gigolo,Deuce_Bigalow:_European_Gigolo,link,1718
313,other-search,Congenital_diaphragmatic_hernia,external,1703
314,Christina_Aguilera,Mi_Reflejo,link,1699
315,other-empty,List_of_world_association_football_records,external,1699
316,Main_Page,When_Breath_Becomes_Air,other,12
317,other-empty,List_of_companies_of_the_United_States_by_state,external,1677
318,Minnesota_Lynx,Women's_National_Basketball_Association,link,1674
319,other-search,Henry_Irving,external,1664
320,Marcelo_Brozović,Hip_replacement,link,12
321,March_(music),Ragtime,link,12
322,other-search,Lapsed_Catholic,external,1657
323,other-external,Horseshoe_crab,external,1655
324,Mariko_Yoshida,Jaguar_Yokota,link,12
325,Interior_Chinatown_(TV_series),Lisa_Gilroy,link,1650
326,Mark_McGann,The_Grand_(TV_series),link,12
327,Market_share,Fungibility,link,12
328,other-search,Paramotor,external,1638
329,other-search,Stolypin_reform,external,1631
330,2024_Ms._Olympia,Andrea_Shaw,link,1629
331,other-internal,Emerald,external,1627
332,other-search,Benjamin_Moore_&_Co.,external,1627
333,Maxim_Afinogenov,Buffalo_Sabres,link,12
334,Princess_Michael_of_Kent,Lady_Gabriella_Kingston,link,1614
335,Media_of_Sudan,Television_in_Sudan,link,12
336,Megan_Mooney,Eddie_Gossling,link,12
337,other-search,Tarte_Cosmetics,external,1599
338,A_Quiet_Place:_Day_One,Patsy's_Pizzeria,link,1591
339,Methaqualone,Methamphetamine,other,12
340,Miami_Marlins,2017_Miami_Marlins_season,link,12
341,other-empty,List_of_Nobel_laureates_by_university_affiliation,external,1582
342,other-search,Kurukkan,external,1575
343,other-search,Caucasus_hunter-gatherer,external,1571
344,other-search,Amritaghateswarar-Abirami_Temple,external,1567
345,Always_Be_My_Maybe_(2019_film),Randall_Park,link,1565
346,Milwaukee_Brewers_(American_Association),History_of_professional_baseball_in_Milwaukee,link,12
347,Mondi,Duino,link,12
348,Movimiento_al_Socialismo,Far-left_politics,link,12
349,Doubt_(2008_film),Philip_Seymour_Hoffman,link,1513
350,Mughal_architecture,Jahangiri_Mahal,link,12
351,other-search,Richard_Whittington,external,1510
352,Clinton–Lewinsky_scandal,Impeachment_of_Bill_Clinton,link,1507
353,Nagpur_Rural,Hingna_Assembly_constituency,link,12
354,Napoleon_II,François_Gérard,link,12
355,Walt_Disney_Animation_Studios,Zootopia_2,link,1476
356,other-external,Ra,external,1472
357,National_Institutes_of_Technology_(India),Vinod_Kumar_Yadav,link,12
358,other-search,Falanghina,external,1457
359,other-search,Yang_Yongxin,external,1451
360,New_Haven_Senators,New_Haven_Nighthawks,link,12
361,other-search,Wilson_Sonsini_Goodrich_&_Rosati,external,1440
362,Roger_Perry,Joyce_Bulifant,link,1435
363,Nieves_v._Bartlett,Lozman_v._City_of_Riviera_Beach_(2018),link,12
364,Nintendo,List_of_Walt_Disney_Pictures_films,other,12
365,other-search,SCSI_connector,external,1427
366,other-search,SoapUI,external,1423
367,other-empty,Motocross_of_Nations,external,1407
368,Nyvi_Estephan,Ana_Clara_(television_presenter),link,12
369,Oath_More_Judaico,Kippah,link,12
370,October_3,Refet_Bele,link,12
371,Oliver_(given_name),Oliver_Cromwell_(disambiguation),link,12
372,Olivia_Chow,Mitzie_Hunter,link,12
373,Omicron_Cygni,31_Cygni,link,12
374,Operation_Hardtack_I,Boeing_B-50_Superfortress,link,12
375,other-search,Timothy_Bateson,external,1380
376,other-search,Cephalic_index,external,1370
377,Ottawa_SuperEX,Lansdowne_Park,link,12
378,Overarm_bowling,Roundarm_bowling,link,12
379,PFC_Levski_Sofia,Georgi_Todorov_(football_manager),link,12
380,other-search,Robert_Venturi,external,1357
381,Palazzo_Grassi,Palazzo_Moro_Lin_(San_Marco),link,12
382,Palermo_Cathedral,Lapis_lazuli,link,12
383,Just_Dance_(video_game_series),Just_Dance_2,link,1345
384,New_York_City,The_Entertainment_Capital_of_the_World,link,1345
385,Paris_Commune,France,link,12
386,Parliament_of_Barbados,Ralph_Thorne,link,12
387,other-empty,Uncle_Luke,external,1335
388,Himesh_Patel,Don't_Look_Up,link,1333
389,The_Happening_(2008_film),John_Leguizamo,link,1332
390,Pentagonal_trapezohedron,Antiprism,link,12
391,Boston_Celtics,2008_NBA_Finals,link,1322
392,Per_Se_(restaurant),American_Automobile_Association,link,12
393,List_of_Roman_emperors,Marcus_Aurelius,link,1320
394,other-search,Joy_Morrissey,external,1308
395,Stevie_Wonder_discography,Songs_in_the_Key_of_Life,link,1299
396,Pneumatic_motor,Fireless_locomotive,link,12
397,other-search,Ilomilo,external,1292
398,Poisoning_of_Alexander_Litvinenko,Barnet_Hospital,link,12
399,other-empty,List_of_Sister_Wives_episodes,external,1287
400,Scott_Westerfeld,Uglies,link,1282
401,Power_Pro_Wrestling,Viscera_(wrestler),link,12
402,Power_pop,Substitute_(The_Who_song),link,12
403,other-internal,List_of_best-selling_books,external,1256
404,Ptolemy_III_Euergetes,Demotic_(Egyptian),link,12
405,other-empty,My_Hero_Academia:_Heroes_Rising,external,1252
406,Pyrylium,Phosphorine,link,12
407,World_War_II,Junkers_Ju_87,link,1246
408,YouTube_Music,YouTube,link,1235
409,Ragnarok_(Týr_album),Eric_the_Red_(album),link,12
410,Cristiano_Ronaldo,Forward_(association_football),link,1233
411,Diablo_II,Diablo_II:_Lord_of_Destruction,link,1232
412,Rajinikanth_filmography,Naman_Ramachandran,link,12
413,Raoul_Hyman,2022_Formula_Regional_Americas_Championship,link,12
414,other-search,Magic_bullet_(medicine),external,1224
415,Ray_Allen,2008_NBA_playoffs,link,12
416,Re:_Cutie_Honey,Yui_Horie,link,12
417,Redemption_Song,Wyclef_Jean,link,12
418,other-empty,Hanns_Scharff,external,1205
419,other-search,Harold_Gillies,external,1205
420,"Richmond,_British_Columbia",Choice_School_for_the_Gifted_and_Exceptional,link,12
421,Rick_and_Morty_season_1,John_Oliver,link,12
422,Grey's_Anatomy,Kim_Raver,link,1195
423,Ritu_(season),Autumn,link,12
424,Rizk,Georgina_Rizk,link,12
425,Midway_(2019_film),Darren_Criss,link,1179
426,Ron_Underwood,Capricorn_One,link,12
427,Ronny_Moorings,Roosendaal,link,12
428,Rony_Brauman,Médecins_Sans_Frontières,link,12
429,Harry's_House,Kid_Harpoon,link,1176
430,Royal_warrant_of_appointment,United_Kingdom,link,12
431,Russia_national_rugby_union_team,Denmark_national_rugby_union_team,link,12
432,Dominic_Thiem,Alexander_Zverev,link,1164
433,other-search,Wu-Tang:_Shaolin_Style,external,1164
434,other-search,Antonia_Prebble,external,1163
435,Enumclaw_horse_sex_case,Legends_of_Catherine_the_Great,link,1161
436,Saab_35_Draken,Lockheed_Martin_F-35_Lightning_II,other,12
437,other-empty,10_Years_(band),external,1152
438,Salmon_of_Knowledge,Ótr,link,12
439,other-search,John_Antioco,external,1150
440,Sansang_of_Goguryeo,Dongcheon_of_Goguryeo,link,1149
441,other-search,Kevin_Costner_&_Modern_West,external,1148
442,Saskatoon—University,Dawn_Dumont,link,12
443,Saturday_Night_Live_season_14,Kirsten_Dunst,link,12
444,other-search,Lily_Safra,external,1137
445,Scaredy_Cat,Bicorne,link,12
446,Kill_the_Irishman,Ray_Ferritto,link,1133
447,Science_and_technology_in_the_Philippines,Eliodoro_Mercado,link,12
448,other-empty,The_Moment_of_Truth_(The_Real_Milli_Vanilli_album),external,1132
449,Scotland_High_School,"Laurinburg,_North_Carolina",link,12
450,other-internal,Mulatto,external,1130
451,other-search,That's_the_Way_of_the_World,external,1129
452,Seasonal_Agricultural_Worker_Program,Temporary_foreign_worker_program_in_Canada,link,12
453,other-internal,Fantasy,external,1126
454,other-search,Born-again_virgin,external,1125
455,other-search,List_of_tallest_buildings_in_Abu_Dhabi,external,1123
456,Semi.Official,The_Anti-Album,link,12
457,Cancún,Quintana_Roo,link,1119
458,Sgt._Pepper's_Lonely_Hearts_Club_Band_(film),George_Harrison,link,12
459,List_of_American_films_of_2024,The_Painter_(2024_film),link,1114
460,Shahjahanpur_district,Ashfaqulla_Khan,link,12
461,other-search,Powers_of_Ten_(film),external,1111
462,other-empty,Cities_of_Scotland,external,1108
463,Singin'_in_the_Rain_(song),Traditional_pop,link,12
464,Rafael_Pérez_(police_officer),Nino_Durden,link,1094
465,other-search,Heiðrún,external,1094
466,Sivas,Qatlama,link,12
467,Somali,Somaliland,link,12
468,other-empty,Last_Forever,external,1071
469,Spencer_(soundtrack),Jonny_Greenwood,link,12
470,"Sports_in_Austin,_Texas",Major_professional_sports_leagues_in_the_United_States_and_Canada,link,12
471,"Star_Wars:_Leia,_Princess_of_Alderaan",Claudia_Gray,link,12
472,Stars_(Grace_Potter_and_the_Nocturnals_song),Grace_Potter_and_the_Nocturnals,link,12
473,other-internal,Ben_McKenzie,external,1058
474,State_religion,Alsace–Lorraine,link,12
475,PlayStation_Studios,Bend_Studio,link,1057
476,other-search,Treasure_trove,external,1055
477,Link_Click,List_of_Link_Click_episodes,link,1054
478,other-search,Aerial_bombing_of_cities,external,1052
479,other-search,Danny_Green_(boxer),external,1051
480,Chang'e,Hou_Yi,link,1047
481,Stroke:_Songs_for_Chris_Knox,Jay_Reatard,link,12
482,Richard_Osman,Richard_Osman's_House_of_Games,link,1042
483,Summit_League,Missouri_State_University,link,12
484,Supercell_(video_game_company),Niittykumpu,link,12
485,other-search,Front_organization,external,1037
486,Israeli_occupation_of_the_West_Bank,Balfour_Declaration,link,1036
487,Svetozar_Marović,University_of_Montenegro,link,12
488,Sword_of_Honour_(disambiguation),Royal_Military_Academy_Sandhurst,link,12
489,TAAG_Angola_Airlines,Transportes_Aéreos_Guatemaltecos,link,12
490,Gordian_I,Maximinus_Thrax,link,1026
491,other-search,Chaotic_Trading_Card_Game,external,1022
492,Te_Awamutu,Heather_Morris_(author),link,12
493,other-search,Sergio_Rochet,external,1013
494,other-search,"Frisco,_Colorado",external,1012
495,Terror_in_the_Haunted_House,"Lost,_Lonely_and_Vicious",link,12
496,other-search,Battle_of_Parwan,external,1009
497,The_Adventure_of_the_Resident_Patient,The_Memoirs_of_Sherlock_Holmes,link,12
498,The_Allman_Brothers_Band,Harley-Davidson_Sportster,link,12
499,other-search,Kaijudo,external,1007
500,The_Angry_Brigade,Anarchist_communism,link,12
501,other-internal,Pirates_of_the_Caribbean:_At_World's_End,external,1005
502,Rebekah_Mercer,Robert_Mercer,link,1004
503,other-search,Australian_Agricultural_Company,external,1002
504,The_Clash,The_Police,link,12
505,The_Firesign_Theatre,Forward_Into_the_Past,link,12
506,Pixel_9,Pixel_8,link,997
507,other-search,Sour_Grapes_(1998_film),external,997
508,other-empty,Prime_Minister's_Office_(India),external,995
509,The_Hollow_(2016_film),William_Sadler_(actor),link,12
510,UFO_(band),Obsession_(UFO_album),link,988
511,other-search,Avaaz,external,988
